filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
sample1-0.fast5	7f5facfe-8179-4832-bfd2-d14f6a74ebeb	01c601ade41551939fc3d763b24f095a94439087	0	34	1	92761.546813	51.638778	15553	TRUE	92761.715471	15502	51.470120	3090	11.471326	0.000000	102.351814	14.199909	102.351814	14.199909
sample1-0.fast5	8153a42d-021e-4762-a045-7205d02ec98c	01c601ade41551939fc3d763b24f095a94439087	0	9	2	391.503984	9.012948	2714	TRUE	392.928951	2285	7.587981	548	11.001029	0.000000	97.009277	11.950418	97.009277	11.950418
sample1-0.fast5	85785de3-1824-4434-9bc3-89017e45eddc	01c601ade41551939fc3d763b24f095a94439087	0	488	4	9888.166999	45.238712	13625	TRUE	9888.166999	13625	45.238712	2892	11.723047	0.000000	96.868683	13.215756	96.868683	13.215756
sample1-0.fast5	858c7e7e-2ca3-4033-a21e-df109ccbce4d	01c601ade41551939fc3d763b24f095a94439087	0	7	1	101893.177291	10.365870	3122	TRUE	101893.939243	2892	9.603918	401	9.640372	0.000000	112.615120	14.059316	112.615120	14.059316
sample1-0.fast5	766596d4-4765-41c2-946a-35866e0a1ff3	01c601ade41551939fc3d763b24f095a94439087	0	438	3	13902.280876	16.715803	5034	TRUE	13902.862882	4859	16.133798	1313	12.167489	0.000000	100.664703	14.199909	100.664703	14.199909
sample1-0.fast5	76cf7ae4-a45e-4ce7-bd7a-9b5e1eb8b652	01c601ade41551939fc3d763b24f095a94439087	0	205	4	19859.250664	15.112218	4551	TRUE	19860.813081	4081	13.549801	1061	11.032515	0.000000	99.539955	14.762281	99.539955	14.762281
sample1-0.fast5	77ee63ba-411a-4f5e-ac64-7787a01cecab	01c601ade41551939fc3d763b24f095a94439087	0	284	1	18981.378486	9.015604	2715	TRUE	18981.511288	2675	8.882802	619	9.589972	0.000000	90.260803	12.653384	90.260803	12.653384
sample1-0.fast5	7a3f3033-b1aa-4568-9eba-3b58378e5f17	01c601ade41551939fc3d763b24f095a94439087	0	499	2	9514.713147	26.877490	8095	TRUE	9514.845950	8055	26.744688	1293	9.833936	0.000000	96.306313	13.496943	96.306313	13.496943
sample1-0.fast5	817cb73b-9987-4745-bbe8-038dadbd23ef	01c601ade41551939fc3d763b24f095a94439087	0	6	1	49867.092961	49.274900	14841	TRUE	49871.214143	13600	45.153718	2978	11.214146	0.000000	104.741898	13.215756	104.741898	13.215756
sample1-0.fast5	cc939e7a-5a4f-4a29-9c88-38b3c8d2b044	01c601ade41551939fc3d763b24f095a94439087	0	16	2	2617.924303	32.613878	9823	TRUE	2620.138778	9156	30.399402	1888	10.872831	0.000000	98.134026	14.059316	98.134026	14.059316
